language,number,constructions
artificial_language_g0_46,65,(5 * 13)
artificial_language_g0_46,66,((5 * 13) + 1)
artificial_language_g0_46,67,((5 * 13) + 2)
artificial_language_g0_46,68,((5 * 13) + 3)
artificial_language_g0_46,69,((5 * 13) + 4)
artificial_language_g0_46,70,((5 * 13) + 5)
artificial_language_g0_46,71,((5 * 13) + 6)
artificial_language_g0_46,72,((5 * 13) + 7)
artificial_language_g0_46,73,((5 * 13) + 8)
artificial_language_g0_46,74,((5 * 13) + 9)
artificial_language_g0_46,75,75
artificial_language_g0_46,76,((5 * 13) + 11)
artificial_language_g0_46,77,((5 * 13) + 12)
artificial_language_g0_46,78,78
artificial_language_g0_46,79,(78 + 1)
artificial_language_g0_46,80,(78 + 2)
artificial_language_g0_46,81,(78 + 3)
artificial_language_g0_46,82,(78 + 4)
artificial_language_g0_46,83,(78 + 5)
artificial_language_g0_46,84,(78 + 6)
artificial_language_g0_46,85,(78 + 7)
artificial_language_g0_46,86,(78 + 8)
artificial_language_g0_46,87,(78 + 9)
artificial_language_g0_46,88,(78 + 10)
artificial_language_g0_46,89,(78 + 11)
artificial_language_g0_46,90,(78 + 12)
artificial_language_g0_46,91,(7 * 13)
artificial_language_g0_46,92,((7 * 13) + 1)
artificial_language_g0_46,93,((7 * 13) + 2)
artificial_language_g0_46,94,((7 * 13) + 3)
artificial_language_g0_46,95,((7 * 13) + 4)
artificial_language_g0_46,96,((7 * 13) + 5)
artificial_language_g0_46,97,((7 * 13) + 6)
artificial_language_g0_46,98,((7 * 13) + 7)
artificial_language_g0_46,99,((7 * 13) + 8)
artificial_language_g0_47,1,1
artificial_language_g0_47,2,2
artificial_language_g0_47,3,3
artificial_language_g0_47,4,4
artificial_language_g0_47,5,5
artificial_language_g0_47,6,6
artificial_language_g0_47,7,7
artificial_language_g0_47,8,8
artificial_language_g0_47,9,9
artificial_language_g0_47,10,10
artificial_language_g0_47,11,11
artificial_language_g0_47,12,12
artificial_language_g0_47,13,13
artificial_language_g0_47,14,14
artificial_language_g0_47,15,15
artificial_language_g0_47,16,16
artificial_language_g0_47,17,17
artificial_language_g0_47,18,18
artificial_language_g0_47,19,19
artificial_language_g0_47,20,20
artificial_language_g0_47,21,21
artificial_language_g0_47,22,(21 + 1)
artificial_language_g0_47,23,(21 + 2)
artificial_language_g0_47,24,(21 + 3)
artificial_language_g0_47,25,(21 + 4)
artificial_language_g0_47,26,(21 + 5)
artificial_language_g0_47,27,(21 + 6)
artificial_language_g0_47,28,(21 + 7)
artificial_language_g0_47,29,(21 + 8)
artificial_language_g0_47,30,(21 + 9)
artificial_language_g0_47,31,(21 + 10)
artificial_language_g0_47,32,(21 + 11)
artificial_language_g0_47,33,(21 + 12)
artificial_language_g0_47,34,(21 + 13)
artificial_language_g0_47,35,(21 + 14)
artificial_language_g0_47,36,(21 + 15)
artificial_language_g0_47,37,(21 + 16)
artificial_language_g0_47,38,(21 + 17)
artificial_language_g0_47,39,(21 + 18)
artificial_language_g0_47,40,(21 + 19)
artificial_language_g0_47,41,(21 + 20)
artificial_language_g0_47,42,(2 * 21)
artificial_language_g0_47,43,((2 * 21) + 1)
artificial_language_g0_47,44,44
artificial_language_g0_47,45,(44 + 1)
artificial_language_g0_47,46,(44 + 2)
artificial_language_g0_47,47,(44 + 3)
artificial_language_g0_47,48,(44 + 4)
artificial_language_g0_47,49,(44 + 5)
artificial_language_g0_47,50,(44 + 6)
artificial_language_g0_47,51,(44 + 7)
artificial_language_g0_47,52,52
artificial_language_g0_47,53,(52 + 1)
artificial_language_g0_47,54,(52 + 2)
artificial_language_g0_47,55,(52 + 3)
artificial_language_g0_47,56,(52 + 4)
artificial_language_g0_47,57,57
artificial_language_g0_47,58,(52 + 6)
artificial_language_g0_47,59,(52 + 7)
artificial_language_g0_47,60,(52 + 8)
artificial_language_g0_47,61,(52 + 9)
artificial_language_g0_47,62,(52 + 10)
artificial_language_g0_47,63,(52 + 11)
artificial_language_g0_47,64,(52 + 12)
artificial_language_g0_47,65,(52 + 13)
artificial_language_g0_47,66,(52 + 14)
artificial_language_g0_47,67,(52 + 15)
artificial_language_g0_47,68,(52 + 16)
artificial_language_g0_47,69,(52 + 17)
artificial_language_g0_47,70,(52 + 18)
artificial_language_g0_47,71,(52 + 19)
artificial_language_g0_47,72,(52 + 20)
artificial_language_g0_47,73,(52 + 21)
artificial_language_g0_47,74,(52 + (21 + 1))
artificial_language_g0_47,75,(52 + (21 + 2))
artificial_language_g0_47,76,(52 + (21 + 3))
artificial_language_g0_47,77,(52 + (21 + 4))
artificial_language_g0_47,78,(52 + (21 + 5))
artificial_language_g0_47,79,(52 + (21 + 6))
artificial_language_g0_47,80,(52 + (21 + 7))
artificial_language_g0_47,81,(52 + (21 + 8))
artificial_language_g0_47,82,(52 + (21 + 9))
artificial_language_g0_47,83,(52 + (21 + 10))
artificial_language_g0_47,84,(52 + (21 + 11))
artificial_language_g0_47,85,(52 + (21 + 12))
artificial_language_g0_47,86,(52 + (21 + 13))
artificial_language_g0_47,87,(52 + (21 + 14))
artificial_language_g0_47,88,(52 + (21 + 15))
artificial_language_g0_47,89,(52 + (21 + 16))
artificial_language_g0_47,90,(52 + (21 + 17))
artificial_language_g0_47,91,(52 + (21 + 18))
artificial_language_g0_47,92,(52 + (21 + 19))
artificial_language_g0_47,93,(52 + (21 + 20))
artificial_language_g0_47,94,(52 + (2 * 21))
artificial_language_g0_47,95,(52 + ((2 * 21) + 1))
artificial_language_g0_47,96,(52 + 44)
artificial_language_g0_47,97,(52 + (44 + 1))
artificial_language_g0_47,98,(52 + (44 + 2))
artificial_language_g0_47,99,(52 + (44 + 3))
artificial_language_g0_48,1,1
artificial_language_g0_48,2,2
artificial_language_g0_48,3,(2 + 1)
artificial_language_g0_48,4,(2 * 2)
artificial_language_g0_48,5,((2 * 2) + 1)
artificial_language_g0_48,6,((2 + 1) * 2)
artificial_language_g0_48,7,(((2 + 1) * 2) + 1)
artificial_language_g0_48,8,((2 * 2) * 2)
artificial_language_g0_48,9,(((2 * 2) * 2) + 1)
artificial_language_g0_48,10,(((2 * 2) + 1) * 2)
artificial_language_g0_48,11,((((2 * 2) + 1) * 2) + 1)
artificial_language_g0_48,12,(((2 + 1) * 2) * 2)
artificial_language_g0_48,13,((((2 + 1) * 2) * 2) + 1)
artificial_language_g0_48,14,((((2 + 1) * 2) + 1) * 2)
artificial_language_g0_48,15,(((((2 + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,16,16
artificial_language_g0_48,17,(16 + 1)
artificial_language_g0_48,18,((((2 * 2) * 2) + 1) * 2)
artificial_language_g0_48,19,(((((2 * 2) * 2) + 1) * 2) + 1)
artificial_language_g0_48,20,((((2 * 2) + 1) * 2) * 2)
artificial_language_g0_48,21,(((((2 * 2) + 1) * 2) * 2) + 1)
artificial_language_g0_48,22,(((((2 * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,23,((((((2 * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,24,((((2 + 1) * 2) * 2) * 2)
artificial_language_g0_48,25,(((((2 + 1) * 2) * 2) * 2) + 1)
artificial_language_g0_48,26,(((((2 + 1) * 2) * 2) + 1) * 2)
artificial_language_g0_48,27,((((((2 + 1) * 2) * 2) + 1) * 2) + 1)
artificial_language_g0_48,28,(((((2 + 1) * 2) + 1) * 2) * 2)
artificial_language_g0_48,29,((((((2 + 1) * 2) + 1) * 2) * 2) + 1)
artificial_language_g0_48,30,((((((2 + 1) * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,31,(((((((2 + 1) * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,32,(16 * 2)
artificial_language_g0_48,33,((16 * 2) + 1)
artificial_language_g0_48,34,((16 + 1) * 2)
artificial_language_g0_48,35,(((16 + 1) * 2) + 1)
artificial_language_g0_48,36,(((((2 * 2) * 2) + 1) * 2) * 2)
artificial_language_g0_48,37,((((((2 * 2) * 2) + 1) * 2) * 2) + 1)
artificial_language_g0_48,38,((((((2 * 2) * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,39,(((((((2 * 2) * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,40,(((((2 * 2) + 1) * 2) * 2) * 2)
artificial_language_g0_48,41,((((((2 * 2) + 1) * 2) * 2) * 2) + 1)
artificial_language_g0_48,42,((((((2 * 2) + 1) * 2) * 2) + 1) * 2)
artificial_language_g0_48,43,(((((((2 * 2) + 1) * 2) * 2) + 1) * 2) + 1)
artificial_language_g0_48,44,((((((2 * 2) + 1) * 2) + 1) * 2) * 2)
artificial_language_g0_48,45,(((((((2 * 2) + 1) * 2) + 1) * 2) * 2) + 1)
artificial_language_g0_48,46,(((((((2 * 2) + 1) * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,47,((((((((2 * 2) + 1) * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,48,(((((2 + 1) * 2) * 2) * 2) * 2)
artificial_language_g0_48,49,((((((2 + 1) * 2) * 2) * 2) * 2) + 1)
artificial_language_g0_48,50,((((((2 + 1) * 2) * 2) * 2) + 1) * 2)
artificial_language_g0_48,51,(((((((2 + 1) * 2) * 2) * 2) + 1) * 2) + 1)
artificial_language_g0_48,52,((((((2 + 1) * 2) * 2) + 1) * 2) * 2)
artificial_language_g0_48,53,(((((((2 + 1) * 2) * 2) + 1) * 2) * 2) + 1)
artificial_language_g0_48,54,(((((((2 + 1) * 2) * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,55,((((((((2 + 1) * 2) * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,56,((((((2 + 1) * 2) + 1) * 2) * 2) * 2)
artificial_language_g0_48,57,(((((((2 + 1) * 2) + 1) * 2) * 2) * 2) + 1)
artificial_language_g0_48,58,(((((((2 + 1) * 2) + 1) * 2) * 2) + 1) * 2)
artificial_language_g0_48,59,((((((((2 + 1) * 2) + 1) * 2) * 2) + 1) * 2) + 1)
artificial_language_g0_48,60,(((((((2 + 1) * 2) + 1) * 2) + 1) * 2) * 2)
artificial_language_g0_48,61,61
artificial_language_g0_48,62,((((((((2 + 1) * 2) + 1) * 2) + 1) * 2) + 1) * 2)
artificial_language_g0_48,63,(((((((((2 + 1) * 2) + 1) * 2) + 1) * 2) + 1) * 2) + 1)
artificial_language_g0_48,64,((16 * 2) * 2)
artificial_language_g0_48,65,(((16 * 2) * 2) + 1)
artificial_language_g0_48,66,(((16 * 2) + 1) * 2)
artificial_language_g0_48,67,((((16 * 2) + 1) * 2) + 1)
artificial_language_g0_48,68,68
artificial_language_g0_48,69,(68 + 1)
artificial_language_g0_48,70,(68 + 2)
artificial_language_g0_48,71,(68 + (2 + 1))
artificial_language_g0_48,72,(68 + (2 * 2))
artificial_language_g0_48,73,(68 + ((2 * 2) + 1))
artificial_language_g0_48,74,(68 + ((2 + 1) * 2))
artificial_language_g0_48,75,(68 + (((2 + 1) * 2) + 1))
artificial_language_g0_48,76,(68 + ((2 * 2) * 2))
artificial_language_g0_48,77,(68 + (((2 * 2) * 2) + 1))
artificial_language_g0_48,78,(68 + (((2 * 2) + 1) * 2))
artificial_language_g0_48,79,(68 + ((((2 * 2) + 1) * 2) + 1))
artificial_language_g0_48,80,80
artificial_language_g0_48,81,(80 + 1)
artificial_language_g0_48,82,(80 + 2)
artificial_language_g0_48,83,(80 + (2 + 1))
artificial_language_g0_48,84,(80 + (2 * 2))
artificial_language_g0_48,85,(80 + ((2 * 2) + 1))
artificial_language_g0_48,86,(80 + ((2 + 1) * 2))
artificial_language_g0_48,87,(80 + (((2 + 1) * 2) + 1))
artificial_language_g0_48,88,(80 + ((2 * 2) * 2))
artificial_language_g0_48,89,89
artificial_language_g0_48,90,(89 + 1)
artificial_language_g0_48,91,(89 + 2)
artificial_language_g0_48,92,(89 + (2 + 1))
artificial_language_g0_48,93,93
artificial_language_g0_48,94,(89 + ((2 * 2) + 1))
artificial_language_g0_48,95,(89 + ((2 + 1) * 2))
artificial_language_g0_48,96,(89 + (((2 + 1) * 2) + 1))
artificial_language_g0_48,97,(89 + ((2 * 2) * 2))
artificial_language_g0_48,98,(89 + (((2 * 2) * 2) + 1))
artificial_language_g0_48,99,(89 + (((2 * 2) + 1) * 2))
artificial_language_g0_49,1,1
artificial_language_g0_49,2,2
artificial_language_g0_49,3,3
artificial_language_g0_49,4,4
artificial_language_g0_49,5,5
artificial_language_g0_49,6,6
artificial_language_g0_49,7,7
artificial_language_g0_49,8,8
artificial_language_g0_49,9,9
artificial_language_g0_49,10,10
artificial_language_g0_49,11,11
artificial_language_g0_49,12,12
artificial_language_g0_49,13,13
artificial_language_g0_49,14,14
artificial_language_g0_49,15,15
artificial_language_g0_49,16,16
artificial_language_g0_49,17,17
artificial_language_g0_49,18,18
artificial_language_g0_49,19,(18 + 1)
artificial_language_g0_49,20,(18 + 2)
artificial_language_g0_49,21,(18 + 3)
artificial_language_g0_49,22,(18 + 4)
artificial_language_g0_49,23,(18 + 5)
artificial_language_g0_49,24,(18 + 6)
artificial_language_g0_49,25,(18 + 7)
artificial_language_g0_49,26,(18 + 8)
artificial_language_g0_49,27,(36 - 9)
artificial_language_g0_49,28,(36 - 8)
artificial_language_g0_49,29,(36 - 7)
artificial_language_g0_49,30,(36 - 6)
artificial_language_g0_49,31,(36 - 5)
artificial_language_g0_49,32,(36 - 4)
artificial_language_g0_49,33,(36 - 3)
artificial_language_g0_49,34,(36 - 2)
artificial_language_g0_49,35,(36 - 1)
artificial_language_g0_49,36,36
artificial_language_g0_49,37,(36 + 1)
artificial_language_g0_49,38,(36 + 2)
artificial_language_g0_49,39,(36 + 3)
artificial_language_g0_49,40,(36 + 4)
artificial_language_g0_49,41,(36 + 5)
artificial_language_g0_49,42,(36 + 6)
artificial_language_g0_49,43,(36 + 7)
artificial_language_g0_49,44,(36 + 8)
artificial_language_g0_49,45,(36 + 9)
artificial_language_g0_49,46,(36 + 10)
artificial_language_g0_49,47,(36 + 11)
artificial_language_g0_49,48,(36 + 12)
artificial_language_g0_49,49,(36 + 13)
artificial_language_g0_49,50,(36 + 14)
artificial_language_g0_49,51,(36 + 15)
artificial_language_g0_49,52,(36 + 16)
artificial_language_g0_49,53,(36 + 17)
artificial_language_g0_49,54,(36 + 18)
artificial_language_g0_49,55,(36 + (18 + 1))
artificial_language_g0_49,56,(36 + (18 + 2))
artificial_language_g0_49,57,(36 + (18 + 3))
artificial_language_g0_49,58,58
artificial_language_g0_49,59,(58 + 1)
artificial_language_g0_49,60,(58 + 2)
artificial_language_g0_49,61,(58 + 3)
artificial_language_g0_49,62,(58 + 4)
artificial_language_g0_49,63,(58 + 5)
artificial_language_g0_49,64,(58 + 6)
artificial_language_g0_49,65,(58 + 7)
artificial_language_g0_49,66,(58 + 8)
artificial_language_g0_49,67,67
artificial_language_g0_49,68,(58 + 10)
artificial_language_g0_49,69,(58 + 11)
artificial_language_g0_49,70,(58 + 12)
artificial_language_g0_49,71,(58 + 13)
artificial_language_g0_49,72,(58 + 14)
artificial_language_g0_49,73,(58 + 15)
artificial_language_g0_49,74,(58 + 16)
artificial_language_g0_49,75,(58 + 17)
artificial_language_g0_49,76,(58 + 18)
artificial_language_g0_49,77,(58 + (18 + 1))
artificial_language_g0_49,78,(58 + (18 + 2))
artificial_language_g0_49,79,(58 + (18 + 3))
artificial_language_g0_49,80,(58 + (18 + 4))
artificial_language_g0_49,81,(58 + (18 + 5))
artificial_language_g0_49,82,(58 + (18 + 6))
artificial_language_g0_49,83,(58 + (18 + 7))
artificial_language_g0_49,84,(58 + (18 + 8))
artificial_language_g0_49,85,(58 + (36 - 9))
artificial_language_g0_49,86,(58 + (36 - 8))
artificial_language_g0_49,87,(58 + (36 - 7))
artificial_language_g0_49,88,88
artificial_language_g0_49,89,89
artificial_language_g0_49,90,(88 + 2)
artificial_language_g0_49,91,(88 + 3)
artificial_language_g0_49,92,(88 + 4)
artificial_language_g0_49,93,(88 + 5)
artificial_language_g0_49,94,(88 + 6)
artificial_language_g0_49,95,(88 + 7)
artificial_language_g0_49,96,(88 + 8)
artificial_language_g0_49,97,(88 + 9)
artificial_language_g0_49,98,(88 + 10)
artificial_language_g0_49,99,(88 + 11)
artificial_language_g0_50,1,1
artificial_language_g0_50,2,2
artificial_language_g0_50,3,3
artificial_language_g0_50,4,4
artificial_language_g0_50,5,5
artificial_language_g0_50,6,6
artificial_language_g0_50,7,7
artificial_language_g0_50,8,8
artificial_language_g0_50,9,(8 + 1)
artificial_language_g0_50,10,(8 + 2)
artificial_language_g0_50,11,(8 + 3)
artificial_language_g0_50,12,(8 + 4)
artificial_language_g0_50,13,(8 + 5)
artificial_language_g0_50,14,(8 + 6)
artificial_language_g0_50,15,(8 + 7)
artificial_language_g0_50,16,(2 * 8)
artificial_language_g0_50,17,((2 * 8) + 1)
artificial_language_g0_50,18,((2 * 8) + 2)
artificial_language_g0_50,19,((2 * 8) + 3)
artificial_language_g0_50,20,((2 * 8) + 4)
artificial_language_g0_50,21,((2 * 8) + 5)
artificial_language_g0_50,22,((2 * 8) + 6)
artificial_language_g0_50,23,((2 * 8) + 7)
artificial_language_g0_50,24,(3 * 8)
artificial_language_g0_50,25,((3 * 8) + 1)
artificial_language_g0_50,26,((3 * 8) + 2)
artificial_language_g0_50,27,((3 * 8) + 3)
artificial_language_g0_50,28,((3 * 8) + 4)
artificial_language_g0_50,29,((3 * 8) + 5)
artificial_language_g0_50,30,((3 * 8) + 6)
artificial_language_g0_50,31,((3 * 8) + 7)
artificial_language_g0_50,32,(4 * 8)
artificial_language_g0_50,33,((4 * 8) + 1)
artificial_language_g0_50,34,34
artificial_language_g0_50,35,((4 * 8) + 3)
artificial_language_g0_50,36,((4 * 8) + 4)
artificial_language_g0_50,37,37
artificial_language_g0_50,38,((4 * 8) + 6)
artificial_language_g0_50,39,((4 * 8) + 7)
artificial_language_g0_50,40,(5 * 8)
artificial_language_g0_50,41,((5 * 8) + 1)
artificial_language_g0_50,42,((5 * 8) + 2)
artificial_language_g0_50,43,((5 * 8) + 3)
artificial_language_g0_50,44,((5 * 8) + 4)
artificial_language_g0_50,45,((5 * 8) + 5)
artificial_language_g0_50,46,((5 * 8) + 6)
artificial_language_g0_50,47,((5 * 8) + 7)
artificial_language_g0_50,48,(6 * 8)
artificial_language_g0_50,49,((6 * 8) + 1)
artificial_language_g0_50,50,((6 * 8) + 2)
artificial_language_g0_50,51,51
artificial_language_g0_50,52,((6 * 8) + 4)
artificial_language_g0_50,53,((6 * 8) + 5)
artificial_language_g0_50,54,54
artificial_language_g0_50,55,55
artificial_language_g0_50,56,(55 + 1)
artificial_language_g0_50,57,(55 + 2)
artificial_language_g0_50,58,(55 + 3)
artificial_language_g0_50,59,(55 + 4)
artificial_language_g0_50,60,(55 + 5)
artificial_language_g0_50,61,(55 + 6)
artificial_language_g0_50,62,(55 + 7)
artificial_language_g0_50,63,(55 + 8)
artificial_language_g0_50,64,(55 + (8 + 1))
artificial_language_g0_50,65,(55 + (8 + 2))
artificial_language_g0_50,66,(55 + (8 + 3))
artificial_language_g0_50,67,(55 + (8 + 4))
artificial_language_g0_50,68,68
artificial_language_g0_50,69,(68 + 1)
artificial_language_g0_50,70,(68 + 2)
artificial_language_g0_50,71,(68 + 3)
artificial_language_g0_50,72,(68 + 4)
artificial_language_g0_50,73,(68 + 5)
artificial_language_g0_50,74,(68 + 6)
artificial_language_g0_50,75,(68 + 7)
artificial_language_g0_50,76,(68 + 8)
artificial_language_g0_50,77,(68 + (8 + 1))
artificial_language_g0_50,78,(68 + (8 + 2))
artificial_language_g0_50,79,(68 + (8 + 3))
artificial_language_g0_50,80,(68 + (8 + 4))
artificial_language_g0_50,81,81
artificial_language_g0_50,82,(68 + (8 + 6))
artificial_language_g0_50,83,(68 + (8 + 7))
artificial_language_g0_50,84,(68 + (2 * 8))
artificial_language_g0_50,85,(68 + ((2 * 8) + 1))
artificial_language_g0_50,86,(68 + ((2 * 8) + 2))
artificial_language_g0_50,87,(68 + ((2 * 8) + 3))
artificial_language_g0_50,88,88
artificial_language_g0_50,89,(88 + 1)
artificial_language_g0_50,90,(88 + 2)
artificial_language_g0_50,91,(88 + 3)
artificial_language_g0_50,92,(88 + 4)
artificial_language_g0_50,93,(88 + 5)
artificial_language_g0_50,94,(88 + 6)
artificial_language_g0_50,95,(88 + 7)
artificial_language_g0_50,96,(88 + 8)
artificial_language_g0_50,97,(88 + (8 + 1))
artificial_language_g0_50,98,(88 + (8 + 2))
artificial_language_g0_50,99,(88 + (8 + 3))
artificial_language_g0_51,1,1
artificial_language_g0_51,2,2
artificial_language_g0_51,3,3
artificial_language_g0_51,4,4
artificial_language_g0_51,5,5
artificial_language_g0_51,6,6
artificial_language_g0_51,7,7
artificial_language_g0_51,8,8
artificial_language_g0_51,9,9
artificial_language_g0_51,10,10
artificial_language_g0_51,11,11
artificial_language_g0_51,12,12
artificial_language_g0_51,13,13
artificial_language_g0_51,14,14
artificial_language_g0_51,15,(1 * 15)
artificial_language_g0_51,16,((1 * 15) + 1)
artificial_language_g0_51,17,((1 * 15) + 2)
artificial_language_g0_51,18,((1 * 15) + 3)
artificial_language_g0_51,19,((1 * 15) + 4)
artificial_language_g0_51,20,((1 * 15) + 5)
artificial_language_g0_51,21,((1 * 15) + 6)
artificial_language_g0_51,22,(30 - 8)
artificial_language_g0_51,23,(30 - 7)
artificial_language_g0_51,24,(30 - 6)
artificial_language_g0_51,25,(30 - 5)
artificial_language_g0_51,26,(30 - 4)
artificial_language_g0_51,27,(30 - 3)
artificial_language_g0_51,28,(30 - 2)
artificial_language_g0_51,29,(30 - 1)
artificial_language_g0_51,30,(1 * 30)
artificial_language_g0_51,31,((1 * 30) + 1)
artificial_language_g0_51,32,((1 * 30) + 2)
artificial_language_g0_51,33,((1 * 30) + 3)
artificial_language_g0_51,34,((1 * 30) + 4)
artificial_language_g0_51,35,((1 * 30) + 5)
artificial_language_g0_51,36,((1 * 30) + 6)
artificial_language_g0_51,37,((1 * 30) + 7)
artificial_language_g0_51,38,((1 * 30) + 8)
artificial_language_g0_51,39,((1 * 30) + 9)
artificial_language_g0_51,40,((1 * 30) + 10)
artificial_language_g0_51,41,((1 * 30) + 11)
artificial_language_g0_51,42,((1 * 30) + 12)
artificial_language_g0_51,43,((1 * 30) + 13)
artificial_language_g0_51,44,((1 * 30) + 14)
artificial_language_g0_51,45,((1 * 30) + 15)
artificial_language_g0_51,46,((1 * 30) + ((1 * 15) + 1))
artificial_language_g0_51,47,(1 * 47)
artificial_language_g0_51,48,(47 + 1)
artificial_language_g0_51,49,(47 + 2)
artificial_language_g0_51,50,(47 + 3)
artificial_language_g0_51,51,(47 + 4)
artificial_language_g0_51,52,(47 + 5)
artificial_language_g0_51,53,(47 + 6)
artificial_language_g0_51,54,(47 + 7)
artificial_language_g0_51,55,(47 + 8)
artificial_language_g0_51,56,(47 + 9)
artificial_language_g0_51,57,(47 + 10)
artificial_language_g0_51,58,(47 + 11)
artificial_language_g0_51,59,(47 + 12)
artificial_language_g0_51,60,(47 + 13)
artificial_language_g0_51,61,(47 + 14)
artificial_language_g0_51,62,(47 + 15)
artificial_language_g0_51,63,(47 + ((1 * 15) + 1))
artificial_language_g0_51,64,(47 + ((1 * 15) + 2))
artificial_language_g0_51,65,(47 + ((1 * 15) + 3))
artificial_language_g0_51,66,(47 + ((1 * 15) + 4))
artificial_language_g0_51,67,(47 + ((1 * 15) + 5))
artificial_language_g0_51,68,(47 + ((1 * 15) + 6))
artificial_language_g0_51,69,(47 + (30 - 8))
artificial_language_g0_51,70,(47 + (30 - 7))
artificial_language_g0_51,71,(47 + (30 - 6))
artificial_language_g0_51,72,(47 + (30 - 5))
artificial_language_g0_51,73,(47 + (30 - 4))
artificial_language_g0_51,74,74
artificial_language_g0_51,75,(47 + (30 - 2))
artificial_language_g0_51,76,(47 + (30 - 1))
artificial_language_g0_51,77,(47 + 30)
artificial_language_g0_51,78,(47 + ((1 * 30) + 1))
artificial_language_g0_51,79,(47 + ((1 * 30) + 2))
artificial_language_g0_51,80,(47 + ((1 * 30) + 3))
artificial_language_g0_51,81,(47 + ((1 * 30) + 4))
artificial_language_g0_51,82,(47 + ((1 * 30) + 5))
artificial_language_g0_51,83,(47 + ((1 * 30) + 6))
artificial_language_g0_51,84,(47 + ((1 * 30) + 7))
artificial_language_g0_51,85,(47 + ((1 * 30) + 8))
artificial_language_g0_51,86,(47 + ((1 * 30) + 9))
artificial_language_g0_51,87,(47 + ((1 * 30) + 10))
artificial_language_g0_51,88,(47 + ((1 * 30) + 11))
artificial_language_g0_51,89,(47 + ((1 * 30) + 12))
artificial_language_g0_51,90,(47 + ((1 * 30) + 13))
artificial_language_g0_51,91,(47 + ((1 * 30) + 14))
artificial_language_g0_51,92,(47 + ((1 * 30) + 15))
artificial_language_g0_51,93,(47 + ((1 * 30) + ((1 * 15) + 1)))
artificial_language_g0_51,94,(2 * 47)
artificial_language_g0_51,95,((2 * 47) + 1)
artificial_language_g0_51,96,((2 * 47) + 2)
artificial_language_g0_51,97,((2 * 47) + 3)
artificial_language_g0_51,98,((2 * 47) + 4)
artificial_language_g0_51,99,((2 * 47) + 5)
artificial_language_g0_52,1,1
artificial_language_g0_52,2,2
artificial_language_g0_52,3,3
artificial_language_g0_52,4,4
artificial_language_g0_52,5,5
artificial_language_g0_52,6,6
artificial_language_g0_52,7,(6 + 1)
artificial_language_g0_52,8,(6 + 2)
artificial_language_g0_52,9,(6 + 3)
artificial_language_g0_52,10,(6 + 4)
artificial_language_g0_52,11,(6 + 5)
artificial_language_g0_52,12,(2 * 6)
artificial_language_g0_52,13,((2 * 6) + 1)
artificial_language_g0_52,14,((2 * 6) + 2)
artificial_language_g0_52,15,((2 * 6) + 3)
artificial_language_g0_52,16,((2 * 6) + 4)
artificial_language_g0_52,17,((2 * 6) + 5)
artificial_language_g0_52,18,(3 * 6)
artificial_language_g0_52,19,((3 * 6) + 1)
artificial_language_g0_52,20,((3 * 6) + 2)
artificial_language_g0_52,21,((3 * 6) + 3)
artificial_language_g0_52,22,((3 * 6) + 4)
artificial_language_g0_52,23,((3 * 6) + 5)
artificial_language_g0_52,24,(4 * 6)
artificial_language_g0_52,25,((4 * 6) + 1)
artificial_language_g0_52,26,((4 * 6) + 2)
artificial_language_g0_52,27,((4 * 6) + 3)
artificial_language_g0_52,28,((4 * 6) + 4)
artificial_language_g0_52,29,((4 * 6) + 5)
artificial_language_g0_52,30,(5 * 6)
artificial_language_g0_52,31,((5 * 6) + 1)
artificial_language_g0_52,32,((5 * 6) + 2)
artificial_language_g0_52,33,((5 * 6) + 3)
artificial_language_g0_52,34,((5 * 6) + 4)
artificial_language_g0_52,35,((5 * 6) + 5)
artificial_language_g0_52,36,(6 * 6)
artificial_language_g0_52,37,((6 * 6) + 1)
artificial_language_g0_52,38,((6 * 6) + 2)
artificial_language_g0_52,39,39
artificial_language_g0_52,40,((6 * 6) + 4)
artificial_language_g0_52,41,((6 * 6) + 5)
artificial_language_g0_52,42,((6 + 1) * 6)
artificial_language_g0_52,43,(((6 + 1) * 6) + 1)
artificial_language_g0_52,44,(((6 + 1) * 6) + 2)
artificial_language_g0_52,45,45
artificial_language_g0_52,46,(45 + 1)
artificial_language_g0_52,47,(45 + 2)
artificial_language_g0_52,48,(45 + 3)
artificial_language_g0_52,49,(45 + 4)
artificial_language_g0_52,50,(45 + 5)
artificial_language_g0_52,51,(45 + 6)
artificial_language_g0_52,52,(45 + (6 + 1))
artificial_language_g0_52,53,(45 + (6 + 2))
artificial_language_g0_52,54,(45 + (6 + 3))
artificial_language_g0_52,55,(45 + (6 + 4))
artificial_language_g0_52,56,(45 + (6 + 5))
