language,number,constructions
artificial_language_g0_7,95,((((((3 * 3) + 1) * 3) + 1) * 3) + 2)
artificial_language_g0_7,96,(((((3 * 3) + 1) * 3) + 2) * 3)
artificial_language_g0_7,97,((((((3 * 3) + 1) * 3) + 2) * 3) + 1)
artificial_language_g0_7,98,((((((3 * 3) + 1) * 3) + 2) * 3) + 2)
artificial_language_g0_7,99,((((3 * 3) + 2) * 3) * 3)
artificial_language_g0_63,1,1
artificial_language_g0_63,2,2
artificial_language_g0_63,3,3
artificial_language_g0_63,4,4
artificial_language_g0_63,5,5
artificial_language_g0_63,6,(5 + 1)
artificial_language_g0_63,7,(5 + 2)
artificial_language_g0_63,8,(5 + 3)
artificial_language_g0_63,9,(5 + 4)
artificial_language_g0_63,10,(2 * 5)
artificial_language_g0_63,11,((2 * 5) + 1)
artificial_language_g0_63,12,((2 * 5) + 2)
artificial_language_g0_63,13,((2 * 5) + 3)
artificial_language_g0_63,14,((2 * 5) + 4)
artificial_language_g0_63,15,(3 * 5)
artificial_language_g0_63,16,((3 * 5) + 1)
artificial_language_g0_63,17,((3 * 5) + 2)
artificial_language_g0_63,18,((3 * 5) + 3)
artificial_language_g0_63,19,((3 * 5) + 4)
artificial_language_g0_63,20,(4 * 5)
artificial_language_g0_63,21,((4 * 5) + 1)
artificial_language_g0_63,22,((4 * 5) + 2)
artificial_language_g0_63,23,((4 * 5) + 3)
artificial_language_g0_63,24,((4 * 5) + 4)
artificial_language_g0_63,25,(5 * 5)
artificial_language_g0_63,26,((5 * 5) + 1)
artificial_language_g0_63,27,((5 * 5) + 2)
artificial_language_g0_63,28,((5 * 5) + 3)
artificial_language_g0_63,29,((5 * 5) + 4)
artificial_language_g0_63,30,((5 + 1) * 5)
artificial_language_g0_63,31,(((5 + 1) * 5) + 1)
artificial_language_g0_63,32,(((5 + 1) * 5) + 2)
artificial_language_g0_63,33,(((5 + 1) * 5) + 3)
artificial_language_g0_63,34,(((5 + 1) * 5) + 4)
artificial_language_g0_63,35,((5 + 2) * 5)
artificial_language_g0_63,36,(((5 + 2) * 5) + 1)
artificial_language_g0_63,37,(((5 + 2) * 5) + 2)
artificial_language_g0_63,38,(((5 + 2) * 5) + 3)
artificial_language_g0_63,39,(((5 + 2) * 5) + 4)
artificial_language_g0_63,40,((5 + 3) * 5)
artificial_language_g0_63,41,(((5 + 3) * 5) + 1)
artificial_language_g0_63,42,(((5 + 3) * 5) + 2)
artificial_language_g0_63,43,(((5 + 3) * 5) + 3)
artificial_language_g0_63,44,(((5 + 3) * 5) + 4)
artificial_language_g0_63,45,((5 + 4) * 5)
artificial_language_g0_63,46,(((5 + 4) * 5) + 1)
artificial_language_g0_63,47,(((5 + 4) * 5) + 2)
artificial_language_g0_63,48,(((5 + 4) * 5) + 3)
artificial_language_g0_63,49,(((5 + 4) * 5) + 4)
artificial_language_g0_63,50,((2 * 5) * 5)
artificial_language_g0_63,51,(((2 * 5) * 5) + 1)
artificial_language_g0_63,52,(((2 * 5) * 5) + 2)
artificial_language_g0_63,53,(((2 * 5) * 5) + 3)
artificial_language_g0_63,54,(((2 * 5) * 5) + 4)
artificial_language_g0_63,55,(((2 * 5) + 1) * 5)
artificial_language_g0_63,56,((((2 * 5) + 1) * 5) + 1)
artificial_language_g0_63,57,((((2 * 5) + 1) * 5) + 2)
artificial_language_g0_63,58,((((2 * 5) + 1) * 5) + 3)
artificial_language_g0_63,59,((((2 * 5) + 1) * 5) + 4)
artificial_language_g0_63,60,(((2 * 5) + 2) * 5)
artificial_language_g0_63,61,((((2 * 5) + 2) * 5) + 1)
artificial_language_g0_63,62,((((2 * 5) + 2) * 5) + 2)
artificial_language_g0_63,63,((((2 * 5) + 2) * 5) + 3)
artificial_language_g0_63,64,((((2 * 5) + 2) * 5) + 4)
artificial_language_g0_63,65,(((2 * 5) + 3) * 5)
artificial_language_g0_63,66,((((2 * 5) + 3) * 5) + 1)
artificial_language_g0_63,67,((((2 * 5) + 3) * 5) + 2)
artificial_language_g0_63,68,((((2 * 5) + 3) * 5) + 3)
artificial_language_g0_63,69,((((2 * 5) + 3) * 5) + 4)
artificial_language_g0_63,70,(((2 * 5) + 4) * 5)
artificial_language_g0_63,71,((((2 * 5) + 4) * 5) + 1)
artificial_language_g0_63,72,((((2 * 5) + 4) * 5) + 2)
artificial_language_g0_63,73,((((2 * 5) + 4) * 5) + 3)
artificial_language_g0_63,74,((((2 * 5) + 4) * 5) + 4)
artificial_language_g0_63,75,((3 * 5) * 5)
artificial_language_g0_63,76,(((3 * 5) * 5) + 1)
artificial_language_g0_63,77,(((3 * 5) * 5) + 2)
artificial_language_g0_63,78,(((3 * 5) * 5) + 3)
artificial_language_g0_63,79,(((3 * 5) * 5) + 4)
